KOD;NAZEV;OBEC_KOD;MOP_KOD;SPRAVOBV_KOD;PORADI;PLATI_OD;PLATI_DO;DATUM_VZNIKU
539791;Praha-Újezd;554782;43;116;53;22.01.2016 00:00:00;;01.01.1977 00:00:00
547310;Praha-Čakovice;554782;94;221;26;04.11.2021 00:00:00;;01.01.1977 00:00:00
547298;Praha-Ďáblice;554782;86;86;27;22.01.2016 00:00:00;;01.01.1977 00:00:00
539635;Praha-Řeporyje;554782;51;132;46;19.07.2022 00:00:00;;01.01.1977 00:00:00
539724;Praha-Šeberov;554782;43;116;50;02.07.2022 00:00:00;;01.01.1977 00:00:00
547409;Praha-Štěrboholy;554782;108;159;51;22.01.2016 00:00:00;;01.01.1977 00:00:00
554375;Proskovice;554821;;;16;27.09.2022 00:00:00;;24.11.1990 00:00:00
554243;Pustkovec;554821;;;17;22.01.2016 00:00:00;;24.11.1990 00:00:00
554537;Radvanice a Bartovice;554821;;;18;16.06.2022 00:00:00;;24.11.1990 00:00:00
546046;Slezská Ostrava;554821;;;19;21.02.2022 00:00:00;;24.11.1990 00:00:00
554235;Stará Bělá;554821;;;20;31.12.2021 00:00:00;;24.11.1990 00:00:00
555371;Suché Lazce;505927;;;5;28.10.2021 00:00:00;;01.04.1996 00:00:00
554685;Svinov;554821;;;21;22.01.2016 00:00:00;;24.11.1990 00:00:00
554715;Třebovice;554821;;;22;18.12.2020 00:00:00;;24.11.1990 00:00:00
555461;Vlaštovičky;505927;;;7;17.10.2017 00:00:00;;01.04.1996 00:00:00
556700;Vávrovice;505927;;;6;07.09.2018 00:00:00;;01.04.1996 00:00:00
554227;Vítkovice;554821;;;23;22.01.2016 00:00:00;;24.11.1990 00:00:00
555410;Zlatníky;505927;;;8;17.12.2021 00:00:00;;01.04.1996 00:00:00
502081;Ústí nad Labem-Neštěmice;554804;;;2;26.08.2021 00:00:00;;24.11.1990 00:00:00
501298;Ústí nad Labem-Severní Terasa;554804;;;3;01.12.2021 00:00:00;;24.11.1990 00:00:00
502316;Ústí nad Labem-Střekov;554804;;;4;02.03.2022 00:00:00;;24.11.1990 00:00:00
567892;Ústí nad Labem-město;554804;;;1;27.09.2022 00:00:00;;24.11.1990 00:00:00
