KOD;NAZEV;VUSC_KOD;NUTS_LAU;PLATI_OD;PLATI_DO;DATUM_VZNIKU
3505;Liberec;78;CZ0513;02.01.2021 00:00:00;;11.04.1960 00:00:00
3506;Litoměřice;60;CZ0423;20.07.2022 00:00:00;;11.04.1960 00:00:00
3507;Louny;60;CZ0424;17.03.2022 00:00:00;;11.04.1960 00:00:00
3207;Mladá Boleslav;27;CZ0207;27.10.2021 00:00:00;;11.04.1960 00:00:00
3508;Most;60;CZ0425;01.11.2021 00:00:00;;11.04.1960 00:00:00
3206;Mělník;27;CZ0206;17.09.2021 00:00:00;;11.04.1960 00:00:00
3804;Nový Jičín;132;CZ0804;17.12.2021 00:00:00;;11.04.1960 00:00:00
3208;Nymburk;27;CZ0208;01.07.2022 00:00:00;;11.04.1960 00:00:00
3605;Náchod;86;CZ0523;28.04.2022 00:00:00;;11.04.1960 00:00:00
3805;Olomouc;124;CZ0712;20.07.2022 00:00:00;;11.04.1960 00:00:00
3806;Opava;132;CZ0805;21.01.2021 00:00:00;;11.04.1960 00:00:00
3807;Ostrava-město;132;CZ0806;02.01.2021 00:00:00;;11.04.1960 00:00:00
3606;Pardubice;94;CZ0532;16.08.2021 00:00:00;;11.04.1960 00:00:00
3304;Pelhřimov;108;CZ0633;27.01.2021 00:00:00;;11.04.1960 00:00:00
3406;Plzeň-jih;43;CZ0324;06.12.2021 00:00:00;;11.04.1960 00:00:00
3405;Plzeň-město;43;CZ0323;28.04.2022 00:00:00;;11.04.1960 00:00:00
3407;Plzeň-sever;43;CZ0325;28.04.2022 00:00:00;;11.04.1960 00:00:00
3306;Prachatice;35;CZ0315;19.05.2021 00:00:00;;11.04.1960 00:00:00
3209;Praha-východ;27;CZ0209;02.07.2022 00:00:00;;11.04.1960 00:00:00
3210;Praha-západ;27;CZ020A;02.07.2022 00:00:00;;11.04.1960 00:00:00
3709;Prostějov;124;CZ0713;01.08.2022 00:00:00;;11.04.1960 00:00:00
3305;Písek;35;CZ0314;26.05.2022 00:00:00;;11.04.1960 00:00:00
3808;Přerov;124;CZ0714;17.12.2021 00:00:00;;11.04.1960 00:00:00
3211;Příbram;27;CZ020B;26.05.2022 00:00:00;;11.04.1960 00:00:00
3212;Rakovník;27;CZ020C;24.08.2022 00:00:00;;11.04.1960 00:00:00
3408;Rokycany;43;CZ0326;11.03.2022 00:00:00;;11.04.1960 00:00:00
3607;Rychnov nad Kněžnou;86;CZ0524;16.08.2021 00:00:00;;11.04.1960 00:00:00
3608;Semily;78;CZ0514;28.06.2022 00:00:00;;11.04.1960 00:00:00
3409;Sokolov;51;CZ0413;16.09.2022 00:00:00;;11.04.1960 00:00:00
3307;Strakonice;35;CZ0316;22.11.2021 00:00:00;;11.04.1960 00:00:00
3609;Svitavy;94;CZ0533;10.03.2021 00:00:00;;11.04.1960 00:00:00
3410;Tachov;43;CZ0327;02.01.2021 00:00:00;;11.04.1960 00:00:00
3509;Teplice;60;CZ0426;16.09.2022 00:00:00;;11.04.1960 00:00:00
3610;Trutnov;86;CZ0525;28.04.2022 00:00:00;;11.04.1960 00:00:00
3308;Tábor;35;CZ0317;06.04.2022 00:00:00;;11.04.1960 00:00:00
3710;Třebíč;108;CZ0634;22.06.2022 00:00:00;;11.04.1960 00:00:00
3711;Uherské Hradiště;141;CZ0722;03.12.2021 00:00:00;;11.04.1960 00:00:00
3810;Vsetín;141;CZ0723;12.12.2021 00:00:00;;11.04.1960 00:00:00
3712;Vyškov;116;CZ0646;01.08.2022 00:00:00;;11.04.1960 00:00:00
3705;Zlín;141;CZ0724;06.04.2022 00:00:00;;11.04.1960 00:00:00
3713;Znojmo;116;CZ0647;22.06.2022 00:00:00;;11.04.1960 00:00:00
3510;Ústí nad Labem;60;CZ0427;16.09.2022 00:00:00;;11.04.1960 00:00:00
3611;Ústí nad Orlicí;94;CZ0534;07.01.2022 00:00:00;;11.04.1960 00:00:00
9999;území Hlavního města Prahy;19;CZ0100;19.07.2022 00:00:00;;11.04.1960 00:00:00
3501;Česká Lípa;78;CZ0511;02.01.2021 00:00:00;;11.04.1960 00:00:00
3301;České Budějovice;35;CZ0311;03.10.2022 00:00:00;;11.04.1960 00:00:00
3302;Český Krumlov;35;CZ0312;03.10.2022 00:00:00;;11.04.1960 00:00:00
3809;Šumperk;124;CZ0715;07.06.2021 00:00:00;;11.04.1960 00:00:00
3714;Žďár nad Sázavou;108;CZ0635;02.12.2021 00:00:00;;11.04.1960 00:00:00
3100;Hlavní město Praha;19;CZ0100;02.01.2021 00:00:00;01.07.2022 00:00:00;11.04.1960 00:00:00
